File,Peak Intensity,Mean (Peak Position),FWHM,Entries,Std Dev.,Compton Edge
14cm.root,120.39332036846487,0.65158826,0.015032245799919311,331,0.062099922,0.478
20cm.root,0.7651333359888165,0.6516377,0.005308378464100531,8,0.023585971,0.478
21cm.root,0.36908834621865716,0.66144264,0.0003853880534942216,4,0.005195675,0.478
18cm.root,2.9642004885342197,0.6493782,0.014283454958850039,37,0.03531693,0.478
16cm.root,28.128704565516735,0.64558387,0.014051902177760155,106,0.06878857,0.478
0cm.root,24764.771371426108,0.6619897,0.011792558298187119,997578,0.0053040446,0.478
7cm.root,5848.899879280605,0.65974844,0.015891001663316626,18564,0.02939316,0.478
2cm.root,8516.202987991288,0.66174805,0.011807176276665811,319006,0.011702716,0.478
11cm.root,703.889069215613,0.65668505,0.014844993771482306,1951,0.0433415,0.478
22cm.root,0.9606862648883664,0.5208781,0.012653329660005114,4,0.24201682,0.478
12cm.root,405.32139288771356,0.65228,0.014908943351518966,1138,0.06016696,0.478
19cm.root,1.3084901030097265,0.64850223,0.01186189023151231,15,0.034820046,0.478
10cm.root,1133.0281566370809,0.6574986,0.015598535812400652,3442,0.039090376,0.478
4cm.root,26621.61039853048,0.661203,0.014238063518377997,102453,0.018370971,0.478
13cm.root,237.80139975541698,0.65502423,0.014343022035174284,648,0.050164107,0.478
5cm.root,17503.324520881237,0.6607406,0.015805049029964238,57864,0.023076871,0.478
23cm.root,,0.6620336,,2,0.0065672994,0.478
6cm.root,10495.874258905184,0.6601283,0.015777801566931562,32874,0.027410872,0.478
15cm.root,63.26503434385783,0.63449913,0.018333706751720677,178,0.10506065,0.478
3cm.root,32624.899937005415,0.6615361,0.012372176102523455,180836,0.014567366,0.478
17cm.root,15.32604182176746,0.64546275,0.014180351475015668,57,0.07219783,0.478
8cm.root,3472.3730188832124,0.65900683,0.015703912065597337,10536,0.033544574,0.478
24cm.root,,0.6554663,,1,0.0,0.478
9cm.root,1963.7378455915887,0.65790886,0.015592732684625514,6052,0.0391635,0.478
1cm.root,14247.333800454891,0.66191626,0.011805932211001438,564006,0.007974851,0.478
25cm.root,,0.6554663,,1,0.0,0.478
