File,Peak Intensity,Mean (Peak Position),FWHM,Entries,Std Dev.,Compton Edge
14cm.root,113.75120842455823,0.6490567,0.015257021807392534,318,0.0717433,0.478
20cm.root,0.7651333359888165,0.6516377,0.005308378464100531,8,0.023585971,0.478
21cm.root,0.36908834621865716,0.66144264,0.0003853880534942216,4,0.005195675,0.478
18cm.root,2.4453732819904923,0.64920956,0.01552626046444363,32,0.035681035,0.478
16cm.root,24.16427287782053,0.6488155,0.014148783042536594,103,0.05894481,0.478
0cm.root,24764.771371426108,0.66198987,0.011792558298187119,997578,0.0053040446,0.478
7cm.root,5764.201894637634,0.65975076,0.015729117077716247,18198,0.02923096,0.478
2cm.root,8510.299410151982,0.6617473,0.011807976901111473,317344,0.01163362,0.478
11cm.root,680.0809598532818,0.65640336,0.014885062653524874,1891,0.045040887,0.478
22cm.root,0.9606862649435477,0.52087796,0.012653338472013918,4,0.24201697,0.478
12cm.root,392.0540380958186,0.6515747,0.014920809704237984,1103,0.06304104,0.478
19cm.root,0.9814405399449174,0.6553386,0.00725817193836933,13,0.019304743,0.478
10cm.root,1114.1650629045923,0.657469,0.01568363173095344,3344,0.039221805,0.478
4cm.root,26349.096303701215,0.6612136,0.014255731260784943,101316,0.018312722,0.478
13cm.root,229.94594104899352,0.6538027,0.014365070136653918,628,0.054926097,0.478
5cm.root,16563.50777248743,0.66082096,0.015554567672767833,57080,0.022012066,0.478
23cm.root,,0.6620336,,2,0.0065672994,0.478
6cm.root,10254.470295875595,0.6601907,0.01576287086021195,32319,0.026863912,0.478
15cm.root,56.1509971253879,0.6406437,0.014649378986021998,171,0.08653688,0.478
3cm.root,33605.8242777301,0.66152453,0.012435481539346397,179343,0.014763479,0.478
17cm.root,12.846620623542083,0.6510164,0.013859985382054279,56,0.051520713,0.478
8cm.root,3406.873625032448,0.6588918,0.015658603292813243,10298,0.0345552,0.478
24cm.root,,0.6554663,,1,0.0,0.478
9cm.root,1114.1650629045923,0.657469,0.01568363173095344,3344,0.0392218,0.478
1cm.root,14219.540388840609,0.6619129,0.011805225138968424,562477,0.00806428,0.478
